"","artist","title_number","count","artist_point","artist_max_year_point","max_year"
"1","2AM",37,179,16.7462341974753,11.3491169560223,2010
"2","2NE1",40,426,41.917749534897,10.9138170687094,2009
"3","2PM",42,250,15.16704294252,8.0051842258559,2009
"4","BIGBANG",59,635,60.9613743387384,18.9105174627446,2015
"5","BLACKPINK",10,233,17.370179421653,7.77351238068477,2016
"6","EXO",104,672,38.2472262776805,13.4175297866431,2017
"7","G-DRAGON",36,266,21.065922372615,5.99900618420767,2009
"8","iKON",21,186,15.2821806157051,10.0923503343265,2018
"9","MC몽",40,235,14.5377217829113,4.98424075159041,2014
"10","miss A",31,185,18.2756884134941,8.01272833053354,2010
"11","Red Velvet (레드벨벳)",34,277,18.0818003296025,6.72497482410467,2017
"12","SHINee (샤이니)",92,383,18.7245412790514,5.62717754525583,2018
"13","TWICE(트와이스)",19,393,47.9550075364389,16.2224807321724,2017
"14","Wanna One(워너원)",30,412,20.4644152142383,11.4869723329859,2018
"15","Zion.T",37,305,20.2787217011652,10.6665845525078,2015
"16","거미",42,264,17.8149466907361,6.18377836581378,2016
"17","김범수",51,267,14.0475494926088,8.19268443998202,2011
"18","나얼",15,186,16.1358150377097,6.99078634059445,2015
"19","뉴이스트 W",23,479,46.4370523813253,33.6563400461716,2018
"20","다비치",63,544,44.8045124144432,12.8223531816942,2009
"21","로이킴",37,270,19.139381526038,6.24430088679416,2013
"22","리쌍(LeeSSang)",47,216,17.7474646261769,6.65200572553396,2011
"23","마마무(Mamamoo)",27,259,15.0969860744766,5.28479230225053,2018
"24","박효신",31,314,16.8089538393662,4.53146230782532,2014
"25","방탄소년단",68,694,24.5371200702573,13.4482157434339,2018
"26","백지영",49,345,21.0806936439833,5.27021041443018,2010
"27","버스커 버스커",33,490,40.9974733737639,20.0628013897686,2012
"28","볼빨간사춘기",26,508,28.0066860862054,12.240760422092,2017
"29","브라운아이드걸스",35,208,13.8922216858612,7.68606305673745,2009
"30","비스트(Beast)",61,325,13.9290959489478,3.24406936534788,2010
"31","성시경",41,371,27.3196868801162,7.60310307531967,2014
"32","소녀시대 (GIRLS` GENERATION)",44,259,27.923990262615,14.6188219984427,2009
"33","소유",9,156,16.3482200759576,9.13522297577783,2014
"34","싸이 (PSY)",36,290,25.7494514326748,12.1496480117919,2012
"35","씨스타",42,254,24.0699529472154,6.09806467238095,2012
"36","아이유(IU)",87,1146,89.4306258048472,18.5677434335088,2017
"37","악동뮤지션",32,286,21.2155507059951,10.907847497193,2014
"38","어반 자카파(Urban Zakapa)",61,298,15.3200854521027,7.12079102928349,2016
"39","에일리",38,351,24.1590594949196,9.23753751966771,2017
"40","에픽하이 (EPIK HIGH)",45,242,17.070661169576,6.64970184339974,2014
"41","여자친구(GFRIEND)",15,238,18.5779528704314,11.393593689768,2016
"42","원더걸스",38,178,15.9192146669089,4.6439945608931,2011
"43","윤미래",12,142,14.8080400113087,4.58247483587269,2016
"44","윤하",64,279,16.022143725475,3.42330681254119,2014
"45","이승기",32,188,16.8057528841191,5.22437145854475,2010
"46","이적",30,213,15.0070653937466,4.47689469326435,2015
"47","임창정",40,280,18.9931295267346,6.60577234627195,2016
"48","젝스키스",33,493,22.6363721499662,20.6289473977965,2017
"49","카라(Kara)",40,218,16.6145603858638,6.32290881781458,2009
"50","케이윌",44,257,17.1505289529388,4.42049887550373,2016
"51","태연 (TAEYEON)",39,254,16.2956330565926,6.60109882236537,2016
"52","티아라(T-ara)",35,290,24.56786995744,8.27231070939673,2010
"53","허각",43,296,22.5188609136408,6.0996827042486,2011
"54","헤이즈(Heize)",21,260,14.2724120426581,8.56943872356045,2017
