rules	support	confidence	lift	count
{Sia} => {볼빨간사춘기}	0.050561797752809	0.84375	4.13360091743119	27
{SURAN(수란)} => {볼빨간사춘기}	0.050561797752809	0.818181818181818	4.00834028356964	27
{SURAN(수란)} => {TWICE(트와이스)}	0.052434456928839	0.848484848484849	2.98086124401914	28
{Shawn Mendes} => {뉴이스트(NU'EST)}	0.0580524344569288	0.911764705882353	6.57949125596184	31
{Shawn Mendes} => {볼빨간사춘기}	0.0561797752808989	0.882352941176471	4.32271991365354	30
{Shawn Mendes} => {BLACKPINK}	0.0599250936329588	0.941176470588235	4.61090124123044	32
{Shawn Mendes} => {TWICE(트와이스)}	0.0599250936329588	0.941176470588235	3.30650154798762	32
{하이라이트(Highlight)} => {Ed Sheeran}	0.052434456928839	0.823529411764706	5.29836995038979	28
{하이라이트(Highlight)} => {BLACKPINK}	0.0561797752808989	0.882352941176471	4.32271991365354	30
{하이라이트(Highlight)} => {TWICE(트와이스)}	0.0543071161048689	0.852941176470588	2.99651702786378	29
{닐로(Nilo)} => {폴킴}	0.052434456928839	0.777777777777778	10.130081300813	28
{폴킴} => {닐로(Nilo)}	0.052434456928839	0.682926829268293	10.130081300813	28
{닐로(Nilo)} => {뉴이스트(NU'EST)}	0.0599250936329588	0.888888888888889	6.41441441441441	32
{닐로(Nilo)} => {뉴이스트 W}	0.0599250936329588	0.888888888888889	6.32888888888889	32
{닐로(Nilo)} => {iKON}	0.052434456928839	0.777777777777778	5.12757201646091	28
{닐로(Nilo)} => {볼빨간사춘기}	0.052434456928839	0.777777777777778	3.81039755351682	28
{닐로(Nilo)} => {BLACKPINK}	0.0543071161048689	0.805555555555556	3.94648318042813	29
{닐로(Nilo)} => {TWICE(트와이스)}	0.0617977528089888	0.916666666666667	3.22039473684211	33
{닐로(Nilo)} => {아이유(IU)}	0.0543071161048689	0.805555555555556	1.47823596792669	29
{Fitz and The Tantrums} => {Camila Cabello}	0.050561797752809	0.72972972972973	10.5317750182615	27
{Camila Cabello} => {Fitz and The Tantrums}	0.050561797752809	0.72972972972973	10.5317750182615	27
{Fitz and The Tantrums} => {모모랜드(MOMOLAND)}	0.050561797752809	0.72972972972973	9.50428477257746	27
{모모랜드(MOMOLAND)} => {Fitz and The Tantrums}	0.050561797752809	0.658536585365854	9.50428477257746	27
{Fitz and The Tantrums} => {멜로망스(Melomance)}	0.052434456928839	0.756756756756757	8.24710424710425	28
{Fitz and The Tantrums} => {뉴이스트(NU'EST)}	0.0674157303370786	0.972972972972973	7.02118334550767	36
{Fitz and The Tantrums} => {뉴이스트 W}	0.0580524344569288	0.837837837837838	5.96540540540541	31
{Fitz and The Tantrums} => {볼빨간사춘기}	0.0561797752808989	0.810810810810811	3.97222910984379	30
{Fitz and The Tantrums} => {BLACKPINK}	0.0636704119850187	0.918918918918919	4.50185965782296	34
{Fitz and The Tantrums} => {Red Velvet (레드벨벳)}	0.0543071161048689	0.783783783783784	3.19496595832474	29
